issue key,projectCategory,created,priority,summary,description,creator,reporter
ZOOKEEPER-2769,ZooKeeper,2017-04-28T19:44:50.000+0000,Major,Compiled documentation should not be under source control,We have xml files that compile into our documentation in src/docs/ and precompiled documentation docs/We should remove them and only have uncompiled documentation under source control,abrahamfine,abrahamfine
ZOOKEEPER-2768,ZooKeeper,2017-04-28T09:57:55.000+0000,Critical,Some ideas about four word command,"Some ideas about four word command1) about cons,can we add command dimension data,such likenow/10.204.2.39:63943[1](queued=0,recved=7,sent=7,sid=0x154c32e8c2a5b8c,lop=PING,est=1483669807748,to=10000,l",wangzhen,wangzhen
ZOOKEEPER-2767,ZooKeeper,2017-04-27T12:14:48.000+0000,Trivial,Correct the exception messages in X509Util if truststore location or password is not configured,In org.apache.zookeeper.common.X509Util.org.apache.zookeeper.common.X509Util.createSSLContext exception messages contains keystore related messages instead of truststore messages for truststore locati,a72877,a72877
ZOOKEEPER-2766,ZooKeeper,2017-04-25T10:18:42.000+0000,Major,Quorum fails with java.io.EOFException,"When I start a ZooKeeper ensemble comprising 3 nodes, I'm currently facing the following behavior:Two nodes (let's say node 2 and 3) out of the three start their own quorum, and finally one of them is",pkleindienst,pkleindienst
ZOOKEEPER-2765,ZooKeeper,2017-04-19T15:43:08.000+0000,Major,modern C++ client,"We should add a modern C++ (i.e. C++14, C++17, etc.) client library that wraps the existing C client.  A future issue may replace the C client itself.",ecarter,ecarter
ZOOKEEPER-2764,ZooKeeper,2017-04-19T09:54:16.000+0000,Minor,"By default, only srvr four-letter word is on the whitelist, while documentation says all are","Using the same Vagrant provisioning script as for 3.5.2-alpha, suddenly all monitoring tools told me that the ZK instance was unavailable or had an error. Investigating further, the instance was fine ",ABchmn,ABchmn
ZOOKEEPER-2763,ZooKeeper,2017-04-19T06:34:02.000+0000,Minor,Utils.toCsvBuffer() omits leading 0 for bytes < 0x10,"org.apache.jute.Utils.toCsvBuffer(), which converts a byte array to a string containing the hex representation of that byte array, omits the leading zero for any byte less than 0x10, due to its use of",bberg,bberg
ZOOKEEPER-2762,ZooKeeper,2017-04-18T21:57:58.000+0000,Major,Multithreaded correctness Warnings,,abrahamfine,abrahamfine
ZOOKEEPER-2761,ZooKeeper,2017-04-18T11:31:19.000+0000,Major,Build is packaged as uncompressed tar archive but file name ends with .gz,"This breaks my build scripts. Did work fine with 3.5.2-alphaUsing 7-Zip on Windows I got a warning, but the archive was extracted fine.On Linux, tar -xzf exits with an error code, as it pipes through ",ABchmn,ABchmn
ZOOKEEPER-2760,ZooKeeper,2017-04-18T07:49:07.000+0000,Blocker,"AAch64 build error: Error: unknown mnemonic `lock' -- `lock xaddl x1,[x0]'",Zookeeper-3.4.10 is integrated into Apache Bigtop : https://github.com/apache/bigtop/commit/b00ac093634437e749561c8837179d13d95fda91But compiling error occurred when we build the bigtop zookeeper comp,yqGu,yqGu
